legal_cat,age,elig_phat,elig_phat_SE,elig_count,elig_count_se,years,rec_phat,rec_phat_SE,rec_count,rec_count_se,time,incidence,tminus10,tminus9,tminus8,tminus7,tminus6,tminus5,tminus4,tminus3,tminus2,tminus1,t0,t1,t2,t3,t4
Illegal,21_Plus,0.541,0.0029,98256000,887000,2014 to 2015,0.003,0.0002,494000,34000,0,0.0050276828,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,Overall,0.577,0.0026,122070000,959000,2014 to 2015,0.009,0.0003,1965000,58000,0,0.0160973212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Overall,12_20,0.786,0.003,29816000,277000,2014 to 2015,0.051,0.0013,1923000,55000,,0.0644955728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,21_Plus,0.532,0.0028,121575000,1030000,2014 to 2015,0.003,0.0002,665000,42000,,0.0054698746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,Overall,0.568,0.0024,151391000,1111000,2014 to 2015,0.01,0.0003,2589000,69000,,0.0171014129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2014,12_20,0.744,0.0177,1105000,55000,2016 to 2017,0.072,0.0084,103000,14000,2,0.0932126697,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2014,21_Plus,0.431,0.0136,3847000,183000,2016 to 2017,0.009,0.0019,80000,18000,2,0.020795425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2014,Overall,0.476,0.012,4952000,195000,2016 to 2017,0.017,0.002,183000,22000,2,0.0369547658,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2015,12_20,0.734,0.0231,320000,22000,2016 to 2017,0.067,0.0109,29000,5000,1,0.090625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2015,21_Plus,0.454,0.0206,1341000,100000,2016 to 2017,0.008,0.0019,25000,6000,1,0.0186428039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2015,Overall,0.49,0.0171,1662000,101000,2016 to 2017,0.015,0.002,54000,8000,1,0.0324909747,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2016,12_20,0.695,0.0286,63000,5000,2016 to 2017,0.059,0.0103,5000,1000,0,0.0793650794,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2016,21_Plus,0.358,0.0174,176000,10000,2016 to 2017,0.006,0.0016,3000,1000,0,0.0170454545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2016,Overall,0.41,0.0139,238000,10000,2016 to 2017,0.014,0.0023,8000,1000,0,0.0336134454,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2017,12_20,0.719,0.0213,237000,17000,2016 to 2017,0.046,0.0069,15000,2000,-1,0.0632911392,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Effective_2017,21_Plus,0.498,0.0181,1023000,65000,2016 to 2017,0.006,0.0023,12000,5000,-1,0.0117302053,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
